source,translation_A,translation_B,A,equal,B,label_A,label_B,text,text_type
"Select Cancel your Subscription in the Manage Subscription section,  and follow the instructions to cancel.",Wählen Sie im Abschnitt Abonnement verwalten die Option Abonnement kündigen und folgen Sie den Anweisungen zur Kündigung.,"Klicken Sie in der Übersicht ""Abonnement verwalten"" auf ""Abonnement kündigen"" und folgen Sie den Anweisungen, um Ihr Abonnement zu kündigen.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
"Note: If you purchased your subscription through a third-party (such as Google Play or Apple App Store), you will need to contact the third-party directly to cancel or make changes to your subscription.","Hinweis: Wenn Sie Ihr Abonnement über einen Drittanbieter (z. B. Google Play oder Apple App Store) erworben haben, müssen Sie sich direkt an den Drittanbieter wenden, um Ihr Abonnement zu kündigen oder Änderungen vorzunehmen.","Hinweis: Wenn Sie Ihr Abonnement über einen Drittanbieter (wie Google Play oder den Apple App Store) abgeschlossen haben, müssen Sie sich direkt an diesen wenden, um Ihr Abonnement zu kündigen oder zu ändern.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_6.txt,instructions
,,,,,,,,,
Gift Subscriptions,Geschenk-Abonnements,Geschenkabonnements,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
Learn about how to purchase a gift subscription to The New York Times for your friends and family.,"Erfahren Sie, wie Sie ein Geschenkabonnement der New York Times für Ihre Freunde und Familie erwerben können.","Erfahren Sie mehr über die Möglichkeit, ein Geschenkabonnement für The New York Times für Ihre Freunde und Familie zu kaufen.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
,,,,,,,,,
Did you know?,Wussten Sie schon?,Wussten Sie schon?,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
You can manage your gift subscriptions in Account.,Sie können Ihre Geschenkabonnements im Konto verwalten.,Sie können Ihre Geschenkabonnements im Bereich Konto verwalten.,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_7.txt,instructions
,,,,,,,,,
Manage Your Gift Subscriptions,Verwalten Sie Ihre Geschenkabonnements,Verwaltung Ihrer Geschenkabonnements,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_inst_7.txt,instructions
,,,,,,,,,
"Gift subscriptions are available for New York Times All Access, Cooking and Games for 12-month periods.","Geschenkabonnements sind für New York Times All Access, Cooking und Games für einen Zeitraum von 12 Monaten erhältlich.","Geschenkabonnements sind für New York Times All Access, Cooking und Games für Zeiträume von 12 Monaten erhältlich.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
"The Athletic is available as a 3-month, 6-month or 12-month subscription.","The Athletic ist als 3-monatiges, 6-monatiges oder 12-monatiges Abonnement erhältlich.","Für The Athletic sind Abonnements für 3, 6 oder 12 Monate erhältlich.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
,,,,,,,,,
Note: The Athletic gift subscriptions are managed differently than the instructions in this article.,Hinweis: Geschenkabonnements für The Athletic werden anders verwaltet als in diesem Artikel beschrieben.,Hinweis: Geschenkabonnements für The Athletic werden anders verwaltet als in diesem Artikel beschrieben.,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
"If you need assistance with a gift subscription for The Athletic, please visit The Athletic’s FAQ page.","Wenn Sie Unterstützung bei einem Geschenkabonnement für The Athletic benötigen, besuchen Sie bitte die FAQ-Seite von The Athletic.","Wenn Sie Hilfe bei einem Geschenkabonnement für The Athletic benötigen, besuchen Sie bitte die FAQ-Seite von The Athletic.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
,,,,,,,,,
"Currently, gift subscriptions are not available for Home Delivery.",Geschenkabonnements sind derzeit nicht für die Lieferung nach Hause verfügbar.,Geschenkabonnements sind zurzeit nicht für die Zustellung nach Hause erhältlich.,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_inst_7.txt,instructions
,,,,,,,,,
Spelling Bee,Buchstabier-Wettbewerb,Buchstabier-Biene,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_8.txt,instructions
"Learn more about the New York Times game Spelling Bee including access, how to play, and answers to common questions.","Informationen zum Buchstabier-Wettbewerb der New York Times, darunter Zugang, Spielanleitung und Antworten auf häufig gestellte Fragen.","Erfahren Sie mehr über das New York Times-Spiel Spelling Bee, einschließlich Zugang, Spielanleitung und Antworten auf häufige Fragen.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_8.txt,instructions
,,,,,,,,,
About Spelling Bee,Informationen zum Buchstabier-Wettbewerb,Über Spelling Bee,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_8.txt,instructions
,,,,,,,,,
Spelling Bee is a word game that challenges players to construct as many words as they can using pre-selected letters.,Beim Buchstabier-Wettbewerb müssen die Spieler so viele Wörter wie möglich aus vorgegebenen Buchstaben bilden.,"Spelling Bee ist ein Wortspiel, bei dem die Spieler versuchen, so viele Wörter wie möglich aus vorgegebenen Buchstaben zu bilden.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_8.txt,instructions
Each word must include the center letter provided in the puzzle.,Jedes Wort muss den im Rätsel angegebenen Mittelbuchstaben enthalten.,Jedes Wort muss den mittleren Buchstaben des Rätsels enthalten.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_8.txt,instructions
An editor-curated list of words is selected for each daily puzzle.,Für jedes tägliche Rätsel wählt ein Redakteur eine Liste mit Wörtern aus.,Für jedes tägliche Rätsel wird eine von einem Redakteur zusammengestellte Liste von Wörtern ausgewählt.,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_8.txt,instructions
,,,,,,,,,
"For information on how to play, select the More in the top right corner of the game and then select How to Play.","Informationen zur Spielanleitung finden Sie, indem Sie im Spiel oben rechts auf Mehr klicken und dann auf Spielanleitung.","Informationen zur Spielweise erhalten Sie, wenn Sie oben rechts im Spiel auf „Mehr“ und dann auf „Wie man spielt“ klicken.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_8.txt,instructions
,,,,,,,,,
"The entire Spelling Bee experience is available to New York Times Games, All Access, and Home Delivery subscribers.","Der gesamte Buchstabier-Wettbewerb steht New York Times Games-, All-Access- und Home-Delivery-Abonnenten zur Verfügung.","Das gesamte Spelling Bee-Erlebnis ist für Abonnenten von New York Times Games, All Access und Home Delivery verfügbar.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_8.txt,instructions
,,,,,,,,,
Save and Share Articles,Artikel speichern und teilen,Artikel speichern und weitergeben,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_9.txt,instructions
"Learn how to save, share, and gift New York Times articles.","Erfahren Sie, wie Sie Artikel der New York Times speichern, teilen und verschenken können.","Erfahren Sie, wie Sie Artikel der New York Times speichern, weitergeben und verschenken können.",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_9.txt,instructions
,,,,,,,,,
You can save and share New York Times articles.,Sie können Artikel der New York Times speichern und teilen.,Sie können Artikel der New York Times speichern und weitergeben.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_9.txt,instructions
Saved articles are accessible in our mobile apps and on the New York Times website.,Gespeicherte Artikel können Sie in unseren mobilen Apps und auf der Website der New York Times aufrufen.,Gespeicherte Artikel sind in unseren mobilen Apps und auf der Website der New York Times zugänglich.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_9.txt,instructions
,,,,,,,,,
Only articles and blog posts can be saved and shared.,Speichern und teilen können Sie nur Artikel und Blogeinträge.,Es können nur Artikel und Blogbeiträge gespeichert und weitergegeben werden.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_9.txt,instructions
"Multimedia links, such as slideshows and video, cannot be shared at this time.",Multimedia-Links wie Diashows und Videos können zurzeit nicht geteilt werden.,"Multimedia-Links, wie Diashows und Videos, können derzeit nicht geteilt werden.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_9.txt,instructions
,,,,,,,,,
The Comments Section,Der Kommentarbereich,Der Kommentarbereich,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
"Learn more about The New York Times comments section, including how to read, post, and flag comments for the website and news app, and comment moderation.","Erfahren Sie mehr über den Kommentarbereich der New York Times, einschliesslich der Möglichkeiten zum Lesen, Schreiben und Melden von Kommentaren auf der Website und in der App sowie der Moderation von Kommentaren.","Erfahren Sie mehr über den Kommentarbereich der New York Times, wie Sie Kommentare auf der Website und in der Nachrichten-App lesen, posten und kennzeichnen können, sowie über die Moderation von Kommentaren.",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
,,,,,,,,,
"The New York Times is interested in articulate, well-informed remarks that are relevant to an article.","Die New York Times begrüsst sachkundige, fundierte Kommentare, die sich auf einen Artikel beziehen.","Die New York Times ist an klaren, gut informierten Kommentaren interessiert, die für einen Artikel relevant sind.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
"We welcome your advice, criticism, and unique insights into the issues of the day and invite you to engage with our news content using the comments section, a feature available for select articles on the New York Times website and app.","Wir freuen uns über Ihre Meinungsäusserungen, Kritik und einzigartigen Blickwinkel zu aktuellen Themen und laden Sie ein, sich mit unseren Artikeln im Kommentarbereich auseinanderzusetzen. Dieser ist auf ausgewählten Artikeln auf der Website und in der App der New York Times verfügbar.","Wir freuen uns über Ihren Rat, Ihre Kritik und Ihre einzigartigen Einblicke in die Themen des Tages und laden Sie ein, sich über den Kommentarbereich, eine Funktion, die für ausgewählte Artikel auf der Website und der App der New York Times verfügbar ist, an unseren Nachrichteninhalten zu beteiligen.",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
,,,,,,,,,
"The comments section allows readers to read, post, recommend, and flag comments on select articles, and is moderated by The New York Times Community team.","Im Kommentarbereich können Leserinnen und Leser Kommentare zu ausgewählten Artikeln lesen, schreiben, empfehlen und melden. Der Kommentarbereich wird von der Community-Redaktion der New York Times moderiert.","Der Kommentarbereich ermöglicht es den Lesern, Kommentare zu ausgewählten Artikeln zu lesen, zu posten, zu empfehlen und zu markieren, und wird vom Community-Team der New York Times moderiert.",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
"Typically, comment threads on articles are open for 24 hours.",Normalerweise sind Kommentarbereiche zu Artikeln 24 Stunden lang offen.,Normalerweise sind die Kommentarfelder zu Artikeln 24 Stunden lang geöffnet.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
"After 24 hours, commenting is closed and our moderators are moved to newer articles.",Nach 24 Stunden wird der Kommentarbereich geschlossen und die Moderatoren konzentrieren sich auf neuere Artikel.,Nach 24 Stunden wird die Kommentarfunktion geschlossen und unsere Moderatoren werden zu neueren Artikeln versetzt.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
This ensures we are able to host a civil comments section on a wide range of articles.,"So können wir sicherstellen, dass wir einen zivilisierten Kommentarbereich zu einer grossen Bandbreite von Artikeln anbieten.","Auf diese Weise wird sichergestellt, dass wir in der Lage sind, einen zivilen Kommentarbereich für eine breite Palette von Artikeln zu unterhalten.",TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
,,,,,,,,,
"To learn more about how to report a correction or share feedback, please visit Contact Us.",Informationen zum Melden von Fehlern oder zum Feedback finden Sie unter Kontakt.,"Wenn Sie mehr darüber erfahren möchten, wie Sie eine Korrektur melden oder uns Ihr Feedback mitteilen können, besuchen Sie bitte Kontakt.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_inst_10.txt,instructions
,,,,,,,,,
"For information on writing personal or public notes on New York Times Cooking recipes, please visit New York Times Cooking in the Help Center.",Informationen zum Verfassen persönlicher oder öffentlicher Notizen zu Rezepten von New York Times Cooking finden Sie unter New York Times Cooking im Hilfebereich.,Informationen zum Schreiben von persönlichen oder öffentlichen Notizen zu New York Times Cooking Rezepten finden Sie unter New York Times Cooking im Help Center.,TRUE,FALSE,FALSE,Supertext,DeepL,en-US_inst_10.txt,instructions
,,,,,,,,,
The Fed Is in No Rush to Cut Rates,"Die Fed hat es nicht eilig, die Zinsen zu senken",Die Fed hat es nicht eilig mit Zinssenkungen,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_1.txt,news
Fed officials have signaled that it will take more than one weak report to convince them that the labor market is deteriorating.,"Fed-Beamte haben signalisiert, dass es mehr als einen schwachen Bericht braucht, um sie davon zu überzeugen, dass sich der Arbeitsmarkt verschlechtert.","Die Verantwortlichen der Fed haben angekündigt, dass sie sich nicht von einem einzigen schwachen Bericht dazu veranlassen lassen werden, von einer sich verschlechternden Arbeitsmarktsituation auszugehen.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_1.txt,news
,,,,,,,,,
"When the Federal Reserve began lowering interest rates in September, inflation was cooling and the job market was showing some troubling signs of weakness.","Als die US-Notenbank im September mit der Senkung der Zinssätze begann, kühlte sich die Inflation ab und der Arbeitsmarkt zeigte einige beunruhigende Anzeichen von Schwäche.","Als die US-Notenbank im September mit der Senkung der Zinsen begann, kühlte die Inflation ab und die Arbeitsmarktsituation zeigte erste Anzeichen einer Schwäche.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_1.txt,news
,,,,,,,,,
"Three months and a full percentage point of rate cuts later, the opposite is true:",Drei Monate und einen vollen Prozentpunkt an Zinssenkungen später ist das Gegenteil der Fall:,"Drei Monate und eine Zinssenkung um einen ganzen Prozentpunkt später, ist das Gegenteil der Fall:",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_1.txt,news
"The job market seems to have stabilized, but progress on inflation has stalled.","Der Arbeitsmarkt scheint sich stabilisiert zu haben, aber die Fortschritte bei der Inflation sind ins Stocken geraten.","Die Arbeitsmarktsituation scheint sich stabilisiert zu haben, aber die Inflationsentwicklung stagniert.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_news_1.txt,news
,,,,,,,,,
"As a result, the central bank is widely expected to pause its campaign of rate cuts at its meeting this month, a message reinforced by Fed officials in a series of speeches this week.","Daher wird allgemein erwartet, dass die Zentralbank ihre Zinssenkungskampagne auf ihrer Sitzung in diesem Monat pausieren wird, eine Botschaft, die von Vertretern der Fed in einer Reihe von Reden in dieser Woche bekräftigt wurde.",Die Zentralbank wird daher bei ihrer Sitzung in diesem Monat voraussichtlich ihre Zinssenkungsrunde unterbrechen. Diese Botschaft wurde von Vertretern der Fed in einer Reihe von Reden in dieser Woche bekräftigt.,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_1.txt,news
,,,,,,,,,
"“While it is not my baseline outlook, I cannot rule out the risk that progress on inflation could continue to stall,” Michelle Bowman, a Fed governor, said in a speech on Thursday.","„Auch wenn dies nicht meine Basisprognose ist, kann ich das Risiko nicht ausschließen, dass die Fortschritte bei der Inflation weiter ins Stocken geraten“, sagte Michelle Bowman, eine Gouverneurin der Fed, in einer Rede am Donnerstag.","Auch wenn dies nicht meine Grundannahme ist, so kann ich nicht ausschliessen, dass die Inflationsentwicklung weiter stagniert, sagte Michelle Bowman, Mitglied des Fed-Rates, in einer Rede am Donnerstag.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_1.txt,news
,,,,,,,,,
What We’re Watching in 2025,Was wir im Jahr 2025 beobachten werden,Was wir 2025 beobachten werden,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
These big questions will define business and policy in the year ahead.,Diese großen Fragen werden Wirtschaft und Politik im kommenden Jahr bestimmen.,Diese grossen Fragen werden in den kommenden Monaten die Geschäfte und die Politik bestimmen.,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
,,,,,,,,,
Andrew here.,Andrew hier.,Andrew hier.,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
Happy New Year and happy Saturday.,Ein frohes neues Jahr und einen schönen Samstag.,Guten Morgen und schönes Wochenende.,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
"This morning, we’re taking a look at what may — or may not — happen in 2025.","Heute Morgen werfen wir einen Blick darauf, was im Jahr 2025 passieren könnte - oder auch nicht.","Heute werfen wir einen Blick auf das, was 2025 alles passieren könnte - oder auch nicht.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_2.txt,news
This is not an effort to crystal-ball the future so much as it is a rundown of big topics that the DealBook team and I have on our radar screen in the new year.,"Dies ist kein Versuch, die Zukunft vorauszusagen, sondern vielmehr eine Auflistung der großen Themen, die das DealBook-Team und ich im neuen Jahr auf unserem Radarschirm haben.","Es geht hier nicht darum, die Zukunft vorauszusagen, sondern vielmehr um eine Zusammenstellung der grossen Themen, die das DealBook-Team und ich im kommenden Jahr im Auge behalten werden.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_2.txt,news
,,,,,,,,,
"On this list: Changes to deal-making in the new Trump era, the future (or end) of D.E.I. efforts, the growing momentum of workers returning to the office, the evolving relationship between China and the U.S., new investments in artificial intelligence, and yes, the role of Elon Musk in all of the above.","Auf dieser Liste: Veränderungen beim Abschluss von Geschäften in der neuen Trump-Ära, die Zukunft (oder das Ende) der D.E.I.-Bemühungen, die wachsende Dynamik bei der Rückkehr von Arbeitnehmern ins Büro, die sich entwickelnden Beziehungen zwischen China und den USA, neue Investitionen in künstliche Intelligenz und ja, die Rolle von Elon Musk bei all diesen Themen.","Zu diesen Themen zählen unter anderem die Veränderungen im Bereich der Fusionen und Übernahmen in der Ära Trump, die Zukunft (oder das Ende) von DEI-Initiativen, die wachsende Tendenz, dass Arbeitnehmer wieder ins Büro zurückkehren, die sich verändernde Beziehung zwischen China und den USA, die wachsende Investitionstätigkeit im Bereich der künstlichen Intelligenz und ja, auch die Rolle von Elon Musk in all diesen Bereichen.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_2.txt,news
Let us know what you think.,"Lassen Sie uns wissen, was Sie denken.",Wir freuen uns auf Ihre Kommentare.,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
And we’ll revisit this list at the end of the year.,Und wir werden diese Liste am Ende des Jahres wieder aufgreifen.,Und wir werden uns am Ende des Jahres noch einmal mit dieser Liste auseinandersetzen.,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
,,,,,,,,,
Deals will flow.,Geschäfte werden fließen.,Fusionen werden boomen.,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_2.txt,news
"Deal makers pretty much universally expect a flood of deals under President-elect Donald Trump after four years of pent-up activity under President Biden, whose antitrust enforcers challenged a record number of mergers.","Nach vier Jahren Stau unter Präsident Biden, dessen Kartellwächter eine Rekordzahl von Fusionen untersagten, erwarten Deal-Macher unter dem designierten Präsidenten Donald Trump eine Flut von Geschäften.","Fast alle Dealmaker erwarten in der Ära Trump nach vier Jahren unter Präsident Biden, in denen die Kartellbehörden eine Rekordzahl an Übernahmen untersuchten, einen Ansturm an Fusionen.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
The more interesting question: Which kinds of companies will make those deals?,Die interessantere Frage ist: Welche Arten von Unternehmen werden diese Geschäfte abschließen?,"Spannender ist die Frage, welche Art von Unternehmen diese Fusionen abschliessen werden.",FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_2.txt,news
"More M.&A. in the energy sector seems probable, given Trump’s support for the industry.",Mehr Fusionen und Übernahmen im Energiesektor scheinen angesichts der Unterstützung Trumps für diese Branche wahrscheinlich zu sein.,"Wahrscheinlich werden in der Energiebranche mehr Fusionen stattfinden, da Trump die Branche unterstützt.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
Bank deals could also take off:,Auch Bankendeals könnten zunehmen:,Auch Bankenfusionen könnten sich beschleunigen:,FALSE,TRUE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
"After the regional banking crisis, Treasury Secretary Janet Yellen said the country could benefit from more mergers.","Nach der regionalen Bankenkrise sagte Finanzministerin Janet Yellen, dass das Land von mehr Fusionen profitieren könnte.","Nach der Krise der regionalen Banken hat die Finanzministerin Janet Yellen gesagt, dass die USA von mehr Fusionen profitieren könnten.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
"Deals may also pop up to address cybersecurity concerns, the impact of GLP-1 drugs and the fierce A.I race.","Auch im Hinblick auf die Cybersicherheit, die Auswirkungen von GLP-1-Medikamenten und den erbitterten Wettlauf der künstlichen Intelligenz könnten sich Deals ergeben.","Ausserdem könnten Fusionen dazu dienen, die Cybersecurity zu verbessern, die Auswirkungen von GLP-1-Medikamenten zu verringern oder im Wettlauf um künstliche Intelligenz die Nase vorn zu haben.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_news_2.txt,news
,,,,,,,,,
Biden Administration Ignites Firestorm With Rules Governing A.I.’s Global Spread,Biden-Regierung entfacht Feuersturm mit Regeln zur weltweiten Verbreitung der KI,Biden-Regierung löst mit Vorschriften für die weltweite Verbreitung von KI einen Sturm aus,FALSE,FALSE,TRUE,DeepL,Supertext,en-US_news_3.txt,news
"The tech industry is fighting new regulations, expected soon, that aim to keep the cutting-edge technology in the United States and allied countries.","Die Technologiebranche kämpft gegen neue, in Kürze erwartete Vorschriften, die darauf abzielen, die Spitzentechnologie in den Vereinigten Staaten und verbündeten Ländern zu halten.","Die Tech-Branche wehrt sich gegen neue Vorschriften, die in Kürze erwartet werden und die darauf abzielen, die fortschrittlichste Technologie in den USA und in verbündeten Ländern zu halten.",FALSE,TRUE,FALSE,DeepL,Supertext,en-US_news_3.txt,news
,,,,,,,,,
"The next big fight over offshoring is playing out in Washington, and this time it involves artificial intelligence.","Der nächste große Kampf um Offshoring spielt sich in Washington ab, und dieses Mal geht es um künstliche Intelligenz.",Der nächste grosse Konflikt über die Auslagerung von Arbeitsplätzen spielt sich in Washington ab und betrifft dieses Mal die künstliche Intelligenz.,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_3.txt,news
,,,,,,,,,
"The Biden administration, in its final weeks in office, is rushing to issue new regulations to try to ensure that the United States and its close allies have control over how artificial intelligence develops in the years to come.","Die Regierung Biden hat es in den letzten Wochen ihrer Amtszeit eilig, neue Vorschriften zu erlassen, die sicherstellen sollen, dass die Vereinigten Staaten und ihre engen Verbündeten die Kontrolle über die Entwicklung der künstlichen Intelligenz in den kommenden Jahren haben.","In den letzten Wochen ihrer Amtszeit eilt die Regierung von Joe Biden, um neue Vorschriften zu erlassen, die sicherstellen sollen, dass die USA und ihre engsten Verbündeten in den kommenden Jahren die Entwicklung der künstlichen Intelligenz kontrollieren können.",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_3.txt,news
,,,,,,,,,
"The rules have touched off an intense fight between tech companies and the government, as well as among administration officials.",Die Vorschriften haben einen heftigen Streit zwischen Technologieunternehmen und der Regierung sowie zwischen Regierungsbeamten ausgelöst.,Die Vorschriften haben zu einem heftigen Konflikt zwischen Tech-Unternehmen und der Regierung sowie unter den Regierungsmitarbeitern geführt.,TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_3.txt,news
,,,,,,,,,
Powerful Labor Group Joins A.F.L.-C.I.O. Ahead of New Trump Era,"Mächtige Gewerkschaft tritt der A.F.L.-C.I.O. bei, um sich auf neue Ära unter Trump vorzubereiten",Mächtige Gewerkschaftsgruppe schließt sich A.F.L.-C.I.O. vor der neuen Trump-Ära an,FALSE,FALSE,TRUE,Supertext,DeepL,en-US_news_4.txt,news
A marriage between the service employees union and the A.F.L.-C.I.O. could better equip organized labor to deal with a less-friendly administration.,"Eine Fusion zwischen der Gewerkschaft der Dienstleistungsmitarbeiter und der A.F.L.-C.I.O. könnte der organisierten Arbeitnehmerbewegung helfen, sich besser auf eine weniger gewerkschaftsfreundliche Regierung unter Donald J. Trump vorzubereiten.",Ein Zusammenschluss zwischen der Gewerkschaft der Dienstleistungsangestellten und der A.F.L.-C.I.O. könnte die organisierte Arbeiterschaft besser für eine weniger freundliche Regierung wappnen.,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_news_4.txt,news
,,,,,,,,,
Two prominent labor groups are joining forces in an attempt to expand union membership and protect members’ interests as they face the likelihood of a less union-friendly federal government under Donald J. Trump.,"Zwei grosse Gewerkschaften haben sich zusammengeschlossen, um die Mitgliederzahl zu erhöhen und die Interessen ihrer Mitglieder zu schützen, die sich in einer Zeit einer weniger gewerkschaftsfreundlichen Bundesregierung unter Donald J. Trump befinden.","Zwei prominente Gewerkschaftsgruppen schließen sich zusammen, um die Zahl der Gewerkschaftsmitglieder zu erhöhen und die Interessen ihrer Mitglieder zu schützen, da sie mit einer weniger gewerkschaftsfreundlichen Bundesregierung unter Donald J. Trump rechnen müssen.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_news_4.txt,news
,,,,,,,,,
"The Service Employees International Union, which represents nearly two million workers in industries like home health care and janitorial services, said on Wednesday that it would become part of the A.F.L.-C.I.O., an umbrella group of more than 50 unions that represent more than 12.5 million workers.","Die Service Employees International Union, die rund zwei Millionen Arbeitnehmer in Branchen wie der häuslichen Pflege und dem Reinigungsgewerbe vertritt, hat am Mittwoch angekündigt, dass sie der A.F.L.-C.I.O. beitreten werde. Die A.F.L.-C.I.O. ist ein Dachverband, dem sich über 50 Gewerkschaften mit insgesamt mehr als 12.5 Millionen Mitgliedern angeschlossen haben.","Die Service Employees International Union, die fast zwei Millionen Beschäftigte in Branchen wie der häuslichen Krankenpflege und Hausmeisterdiensten vertritt, erklärte am Mittwoch, sie werde der A.F.L.-C.I.O. beitreten, einem Dachverband von mehr als 50 Gewerkschaften, die über 12,5 Millionen Beschäftigte vertreten.",FALSE,FALSE,TRUE,Supertext,DeepL,en-US_news_4.txt,news
,,,,,,,,,
The boards of the two groups formally approved the affiliation arrangement earlier in the day.,Die Vorstände der beiden Gewerkschaften haben die Vereinbarung über die Mitgliedschaft bereits am selben Tag offiziell abgesegnet.,Die Vorstände der beiden Gruppen stimmten dem Beitritt im Laufe des Tages formell zu.,FALSE,TRUE,FALSE,Supertext,DeepL,en-US_news_4.txt,news
,,,,,,,,,
"April Verrett, the service employees’ president, said in an interview that the union had begun discussing the possibility of joining the A.F.L.-C.I.O. almost two years ago, and that discussions with the federation and its president, Liz Shuler, accelerated early last year.","April Verrett, die Präsidentin der Gewerkschaft der Dienstleistungsmitarbeiter, sagte in einem Interview, dass ihre Gewerkschaft bereits vor fast zwei Jahren mit dem Gedanken gespielt habe, der A.F.L.-C.I.O. beizutreten. Die Gespräche mit der A.F.L.-C.I.O. und ihrer Präsidentin Liz Shuler hätten sich dann Anfang 2016 intensiviert.","April Verrett, die Präsidentin der Dienstleistungsangestellten, sagte in einem Interview, dass die Gewerkschaft vor fast zwei Jahren begonnen habe, die Möglichkeit eines Beitritts zur A.F.L.-C.I.O. zu erörtern, und dass sich die Gespräche mit dem Verband und seiner Präsidentin, Liz Shuler, Anfang letzten Jahres beschleunigt hätten.",FALSE,TRUE,FALSE,Supertext,DeepL,en-US_news_4.txt,news
,,,,,,,,,
"Richard A. Easterlin, ‘Father of Happiness Economics,’ Dies at 98","Richard A. Easterlin, der „Vater der Glücksökonomie“, stirbt im Alter von 98 Jahren","Richard A. Easterlin, der ""Vater der Glücksforschung"", stirbt im Alter von 98 Jahren",TRUE,FALSE,FALSE,DeepL,Supertext,en-US_news_5.txt,news
